road,one-plus-o22,one-plus-o227,one-plus-o230,one-plus-o238,one-plus-o34,one-plus-o37,one-plus-o320,one-plus-o331,one-plus-o340,one-plus-o344,one-plus-o346,random--la12,random--la1016,random--la24,random--la314,random--la43,random--la413,random--la415,random--la421,random--la424,random--la427,random--la53,random--la532,random--la619,random--la621,random--la628,random--la712,random--la717,random--la734,random--la911
one-plus-o22,1.0,0.8828125,0.88671875,0.90234375,0.87109375,0.875,0.8828125,0.8828125,0.87109375,0.875,0.875,0.890625,0.87890625,0.88671875,0.87890625,0.89453125,0.859375,0.85546875,0.87109375,0.90234375,0.8984375,0.86328125,0.89453125,0.875,0.8671875,0.8984375,0.8515625,0.87890625,0.890625,0.90234375
one-plus-o227,0.8828125,1.0,0.90234375,0.87890625,0.85546875,0.859375,0.8828125,0.8671875,0.85546875,0.859375,0.875,0.8828125,0.91015625,0.89453125,0.91796875,0.91015625,0.8515625,0.83203125,0.87890625,0.88671875,0.8828125,0.84765625,0.92578125,0.8671875,0.8984375,0.875,0.8359375,0.85546875,0.875,0.88671875
one-plus-o230,0.88671875,0.90234375,1.0,0.890625,0.8828125,0.88671875,0.89453125,0.89453125,0.8828125,0.88671875,0.87890625,0.91015625,0.8984375,0.9140625,0.9296875,0.9296875,0.88671875,0.8515625,0.8828125,0.890625,0.89453125,0.875,0.9296875,0.87109375,0.90234375,0.90234375,0.85546875,0.8828125,0.88671875,0.8828125
one-plus-o238,0.90234375,0.87890625,0.890625,1.0,0.9296875,0.92578125,0.94140625,0.92578125,0.9296875,0.93359375,0.92578125,0.91796875,0.90625,0.921875,0.8828125,0.9140625,0.88671875,0.8984375,0.859375,0.921875,0.93359375,0.921875,0.8984375,0.91796875,0.90234375,0.93359375,0.88671875,0.921875,0.92578125,0.9296875
one-plus-o34,0.87109375,0.85546875,0.8828125,0.9296875,1.0,0.98046875,0.97265625,0.98828125,0.984375,0.99609375,0.96484375,0.95703125,0.90625,0.9609375,0.890625,0.9453125,0.89453125,0.9609375,0.90625,0.9453125,0.96484375,0.984375,0.9296875,0.95703125,0.91796875,0.97265625,0.92578125,0.9765625,0.95703125,0.8984375
one-plus-o37,0.875,0.859375,0.88671875,0.92578125,0.98046875,1.0,0.9765625,0.96875,0.99609375,0.984375,0.9765625,0.953125,0.91796875,0.96484375,0.88671875,0.94921875,0.8984375,0.94140625,0.88671875,0.94921875,0.9609375,0.98828125,0.93359375,0.96875,0.921875,0.9765625,0.9296875,0.95703125,0.953125,0.90234375
one-plus-o320,0.8828125,0.8828125,0.89453125,0.94140625,0.97265625,0.9765625,1.0,0.9609375,0.97265625,0.9765625,0.984375,0.9609375,0.93359375,0.95703125,0.91015625,0.94921875,0.890625,0.94921875,0.88671875,0.96484375,0.9765625,0.96484375,0.94921875,0.9765625,0.9453125,0.96875,0.9296875,0.94921875,0.96875,0.92578125
one-plus-o331,0.8828125,0.8671875,0.89453125,0.92578125,0.98828125,0.96875,0.9609375,1.0,0.97265625,0.984375,0.953125,0.96875,0.90234375,0.96484375,0.90234375,0.94921875,0.90625,0.94921875,0.91796875,0.95703125,0.96875,0.97265625,0.94140625,0.9453125,0.9140625,0.9765625,0.9296875,0.97265625,0.953125,0.90234375
one-plus-o340,0.87109375,0.85546875,0.8828125,0.9296875,0.984375,0.99609375,0.97265625,0.97265625,1.0,0.98828125,0.97265625,0.94921875,0.9140625,0.9609375,0.8828125,0.9453125,0.89453125,0.9453125,0.890625,0.9453125,0.95703125,0.9921875,0.9296875,0.96484375,0.91796875,0.97265625,0.92578125,0.9609375,0.94921875,0.8984375
one-plus-o344,0.875,0.859375,0.88671875,0.93359375,0.99609375,0.984375,0.9765625,0.984375,0.98828125,1.0,0.96875,0.953125,0.91015625,0.96484375,0.88671875,0.94921875,0.8984375,0.95703125,0.90234375,0.94921875,0.9609375,0.98828125,0.93359375,0.9609375,0.921875,0.9765625,0.9296875,0.97265625,0.953125,0.90234375
one-plus-o346,0.875,0.875,0.87890625,0.92578125,0.96484375,0.9765625,0.984375,0.953125,0.97265625,0.96875,1.0,0.9453125,0.93359375,0.94921875,0.89453125,0.94140625,0.8828125,0.94921875,0.87890625,0.96484375,0.96875,0.96484375,0.94140625,0.984375,0.9375,0.9609375,0.921875,0.94140625,0.9609375,0.91796875
random--la12,0.890625,0.8828125,0.91015625,0.91796875,0.95703125,0.953125,0.9609375,0.96875,0.94921875,0.953125,0.9453125,1.0,0.91015625,0.95703125,0.91796875,0.94921875,0.9140625,0.93359375,0.90234375,0.96484375,0.9609375,0.94140625,0.94921875,0.9375,0.9296875,0.9609375,0.921875,0.94140625,0.9453125,0.91015625
random--la1016,0.87890625,0.91015625,0.8984375,0.90625,0.90625,0.91796875,0.93359375,0.90234375,0.9140625,0.91015625,0.93359375,0.91015625,1.0,0.921875,0.890625,0.90625,0.86328125,0.890625,0.859375,0.9140625,0.92578125,0.90625,0.921875,0.93359375,0.92578125,0.91796875,0.87890625,0.8984375,0.91796875,0.9140625
random--la24,0.88671875,0.89453125,0.9140625,0.921875,0.9609375,0.96484375,0.95703125,0.96484375,0.9609375,0.96484375,0.94921875,0.95703125,0.921875,1.0,0.9140625,0.9609375,0.91796875,0.921875,0.8984375,0.953125,0.95703125,0.953125,0.9453125,0.94140625,0.93359375,0.97265625,0.91796875,0.9609375,0.95703125,0.8984375
random--la314,0.87890625,0.91796875,0.9296875,0.8828125,0.890625,0.88671875,0.91015625,0.90234375,0.8828125,0.88671875,0.89453125,0.91796875,0.890625,0.9140625,1.0,0.9375,0.87109375,0.875,0.90625,0.9140625,0.91796875,0.875,0.953125,0.88671875,0.91796875,0.90234375,0.85546875,0.890625,0.91796875,0.8828125
random--la43,0.89453125,0.91015625,0.9296875,0.9140625,0.9453125,0.94921875,0.94921875,0.94921875,0.9453125,0.94921875,0.94140625,0.94921875,0.90625,0.9609375,0.9375,1.0,0.89453125,0.9140625,0.921875,0.9453125,0.94921875,0.9375,0.9765625,0.93359375,0.93359375,0.95703125,0.91015625,0.9375,0.94140625,0.8984375
random--la413,0.859375,0.8515625,0.88671875,0.88671875,0.89453125,0.8984375,0.890625,0.90625,0.89453125,0.8984375,0.8828125,0.9140625,0.86328125,0.91796875,0.87109375,0.89453125,1.0,0.85546875,0.85546875,0.90234375,0.8984375,0.88671875,0.89453125,0.875,0.8828125,0.9140625,0.8671875,0.88671875,0.8828125,0.87890625
random--la415,0.85546875,0.83203125,0.8515625,0.8984375,0.9609375,0.94140625,0.94921875,0.94921875,0.9453125,0.95703125,0.94921875,0.93359375,0.890625,0.921875,0.875,0.9140625,0.85546875,1.0,0.8671875,0.9375,0.94921875,0.9453125,0.90625,0.95703125,0.89453125,0.94140625,0.89453125,0.9453125,0.93359375,0.8828125
random--la421,0.87109375,0.87890625,0.8828125,0.859375,0.90625,0.88671875,0.88671875,0.91796875,0.890625,0.90234375,0.87890625,0.90234375,0.859375,0.8984375,0.90625,0.921875,0.85546875,0.8671875,1.0,0.890625,0.89453125,0.890625,0.9296875,0.87109375,0.87890625,0.89453125,0.84765625,0.8984375,0.88671875,0.8515625
random--la424,0.90234375,0.88671875,0.890625,0.921875,0.9453125,0.94921875,0.96484375,0.95703125,0.9453125,0.94921875,0.96484375,0.96484375,0.9140625,0.953125,0.9140625,0.9453125,0.90234375,0.9375,0.890625,1.0,0.97265625,0.9375,0.9453125,0.95703125,0.94140625,0.96484375,0.91796875,0.9375,0.95703125,0.9140625
random--la427,0.8984375,0.8828125,0.89453125,0.93359375,0.96484375,0.9609375,0.9765625,0.96875,0.95703125,0.9609375,0.96875,0.9609375,0.92578125,0.95703125,0.91796875,0.94921875,0.8984375,0.94921875,0.89453125,0.97265625,1.0,0.94921875,0.94921875,0.96875,0.9375,0.984375,0.9296875,0.95703125,0.9765625,0.92578125
random--la53,0.86328125,0.84765625,0.875,0.921875,0.984375,0.98828125,0.96484375,0.97265625,0.9921875,0.98828125,0.96484375,0.94140625,0.90625,0.953125,0.875,0.9375,0.88671875,0.9453125,0.890625,0.9375,0.94921875,1.0,0.921875,0.95703125,0.91015625,0.96484375,0.91796875,0.9609375,0.94140625,0.890625
random--la532,0.89453125,0.92578125,0.9296875,0.8984375,0.9296875,0.93359375,0.94921875,0.94140625,0.9296875,0.93359375,0.94140625,0.94921875,0.921875,0.9453125,0.953125,0.9765625,0.89453125,0.90625,0.9296875,0.9453125,0.94921875,0.921875,1.0,0.93359375,0.94140625,0.94140625,0.90234375,0.9140625,0.93359375,0.90625
random--la619,0.875,0.8671875,0.87109375,0.91796875,0.95703125,0.96875,0.9765625,0.9453125,0.96484375,0.9609375,0.984375,0.9375,0.93359375,0.94140625,0.88671875,0.93359375,0.875,0.95703125,0.87109375,0.95703125,0.96875,0.95703125,0.93359375,1.0,0.9296875,0.9609375,0.9140625,0.94140625,0.953125,0.91796875
random--la621,0.8671875,0.8984375,0.90234375,0.90234375,0.91796875,0.921875,0.9453125,0.9140625,0.91796875,0.921875,0.9375,0.9296875,0.92578125,0.93359375,0.91796875,0.93359375,0.8828125,0.89453125,0.87890625,0.94140625,0.9375,0.91015625,0.94140625,0.9296875,1.0,0.9296875,0.8828125,0.91015625,0.9296875,0.89453125
random--la628,0.8984375,0.875,0.90234375,0.93359375,0.97265625,0.9765625,0.96875,0.9765625,0.97265625,0.9765625,0.9609375,0.9609375,0.91796875,0.97265625,0.90234375,0.95703125,0.9140625,0.94140625,0.89453125,0.96484375,0.984375,0.96484375,0.94140625,0.9609375,0.9296875,1.0,0.9375,0.96484375,0.9609375,0.91796875
random--la712,0.8515625,0.8359375,0.85546875,0.88671875,0.92578125,0.9296875,0.9296875,0.9296875,0.92578125,0.9296875,0.921875,0.921875,0.87890625,0.91796875,0.85546875,0.91015625,0.8671875,0.89453125,0.84765625,0.91796875,0.9296875,0.91796875,0.90234375,0.9140625,0.8828125,0.9375,1.0,0.91015625,0.9140625,0.87109375
random--la717,0.87890625,0.85546875,0.8828125,0.921875,0.9765625,0.95703125,0.94921875,0.97265625,0.9609375,0.97265625,0.94140625,0.94140625,0.8984375,0.9609375,0.890625,0.9375,0.88671875,0.9453125,0.8984375,0.9375,0.95703125,0.9609375,0.9140625,0.94140625,0.91015625,0.96484375,0.91015625,1.0,0.97265625,0.8828125
random--la734,0.890625,0.875,0.88671875,0.92578125,0.95703125,0.953125,0.96875,0.953125,0.94921875,0.953125,0.9609375,0.9453125,0.91796875,0.95703125,0.91796875,0.94140625,0.8828125,0.93359375,0.88671875,0.95703125,0.9765625,0.94140625,0.93359375,0.953125,0.9296875,0.9609375,0.9140625,0.97265625,1.0,0.90234375
random--la911,0.90234375,0.88671875,0.8828125,0.9296875,0.8984375,0.90234375,0.92578125,0.90234375,0.8984375,0.90234375,0.91796875,0.91015625,0.9140625,0.8984375,0.8828125,0.8984375,0.87890625,0.8828125,0.8515625,0.9140625,0.92578125,0.890625,0.90625,0.91796875,0.89453125,0.91796875,0.87109375,0.8828125,0.90234375,1.0
